_id,userId,categoryId,subcategoryId,name,shortDescription,description,price,image,imageId,variantGroups,createdAt,updatedAt
68c9071f283ed5949c12f3a2,68c905dc283ed5949c12f39b,68c92b17cf8c8608857f0b96,68c93031fdb294c8653106f8,Smokey Blaze,"Bold, Juicy, Fiery Bite","The Smokey Blaze Burger is crafted for those who crave adventure in every bite. Juicy, flame-grilled beef patty is layered with melted cheddar, smoky chipotle sauce, caramelized onions, and fresh crisp lettuce. A hint of jalapeño brings a fiery kick, balanced by a toasted brioche bun that seals the deal. Perfect for anyone looking to indulge in bold flavors, this burger delivers both heat and satisfaction. Each bite bursts with smoky richness, spice, and texture, making it unforgettable.",500,"https://res.cloudinary.com/doobnnrrs/image/upload/f_auto,q_auto/v1758005022/products/eaoa0u42iaotbki9fj81.jpg",products/eaoa0u42iaotbki9fj81,"[{""name"":""Size"",""isRequired"":true,""maxSelectable"":1,""options"":[{""name"":""Small"",""price"":300,""_id"":""68d3873023305f0e8fd449d8""},{""name"":""Large"",""price"":500,""_id"":""68d3873023305f0e8fd449d9""}],""_id"":""68d3873023305f0e8fd449d7""}]",2025-09-16T06:43:43.263Z,2025-09-24T05:52:48.786Z
68c90761283ed5949c12f3a6,68c905dc283ed5949c12f39b,68c92b17cf8c8608857f0b96,68c930d2fdb294c865310720,Golden Crunch,"Crispy, Tender, Flavor Packed","The Golden Crunch Burger is a true delight for crispy chicken lovers. A golden, crunchy chicken fillet is double-coated for extra crispness and paired with creamy garlic mayo, tangy pickles, and a slice of Swiss cheese. Fresh tomatoes and lettuce add a refreshing balance, while the butter-toasted potato bun keeps it soft yet sturdy. This burger combines crunchy, juicy, and creamy textures to create a perfect bite every time. Ideal for lunch or dinner, it satisfies cravings for comfort food while delivering gourmet flavor.",400,"https://res.cloudinary.com/doobnnrrs/image/upload/f_auto,q_auto/v1758005089/products/yglsdemd7v0xtwstwvfz.jpg",products/yglsdemd7v0xtwstwvfz,"[{""name"":""Size"",""isRequired"":true,""maxSelectable"":1,""options"":[{""name"":""Small"",""price"":210,""_id"":""68d3870b23305f0e8fd44931""},{""name"":""Large"",""price"":400,""_id"":""68d3870b23305f0e8fd44932""}],""_id"":""68d3870b23305f0e8fd44930""}]",2025-09-16T06:44:49.921Z,2025-09-24T05:52:11.265Z
68c907a2283ed5949c12f3aa,68c905dc283ed5949c12f39b,68c92b17cf8c8608857f0b96,68c930c6fdb294c86531071a,Mighty Shroom,"Earthy, Cheesy, Pure Indulgence","The Mighty Shroom Melt celebrates the earthy richness of mushrooms combined with gooey, melted cheese. A thick beef patty is topped with sautéed garlic mushrooms, smothered in melted provolone and mozzarella. The addition of truffle aioli takes the flavor profile to the next level, creating a luxurious yet comforting burger. Nestled between lightly toasted artisan buns, this burger is ideal for those who appreciate the fusion of umami and creaminess. Every bite feels indulgent, hearty, and deeply satisfying, making it a premium choice for true burger enthusiasts.",600,"https://res.cloudinary.com/doobnnrrs/image/upload/f_auto,q_auto/v1758005153/products/jihymmclblbxlezum79t.jpg",products/jihymmclblbxlezum79t,"[{""name"":""Size"",""isRequired"":true,""maxSelectable"":1,""options"":[{""name"":""Small"",""price"":330,""_id"":""68d386e923305f0e8fd4488d""},{""name"":""Large"",""price"":600,""_id"":""68d386e923305f0e8fd4488e""}],""_id"":""68d386e923305f0e8fd4488c""},{""name"":""Add-ons"",""isRequired"":false,""maxSelectable"":2,""options"":[{""name"":""Extra Mushrooms"",""price"":50,""_id"":""68d386e923305f0e8fd44890""},{""name"":""Extra Melted Cheeze"",""price"":30,""_id"":""68d386e923305f0e8fd44891""}],""_id"":""68d386e923305f0e8fd4488f""}]",2025-09-16T06:45:54.301Z,2025-09-24T05:51:37.454Z
68c907df283ed5949c12f3ae,68c905dc283ed5949c12f39b,68c92b17cf8c8608857f0b96,68c93031fdb294c8653106f8,Classic Rancher,"Fresh, Simple, Always Delicious","The Classic Rancher Burger pays homage to timeless burger traditions. Featuring a perfectly seasoned beef patty, topped with crisp lettuce, juicy tomato slices, crunchy onions, and tangy ranch dressing, it keeps things simple yet irresistibly tasty. A slice of American cheese melts beautifully over the patty, bringing a creamy finish to each bite. The burger is served on a sesame seed bun, balancing nostalgia with quality ingredients. This is the go-to option when you want a familiar favorite that never disappoints, delivering satisfaction without overcomplicating flavors.",500,"https://res.cloudinary.com/doobnnrrs/image/upload/f_auto,q_auto/v1758005215/products/kl0rvzmxaiqm3tkju8f0.jpg",products/kl0rvzmxaiqm3tkju8f0,"[{""name"":""Size"",""isRequired"":true,""maxSelectable"":1,""options"":[{""name"":""Small"",""price"":200,""_id"":""68d3865423305f0e8fd447f7""},{""name"":""Medium"",""price"":350,""_id"":""68d3865423305f0e8fd447f8""},{""name"":""Double"",""price"":500,""_id"":""68d3865423305f0e8fd447f9""}],""_id"":""68d3865423305f0e8fd447f6""}]",2025-09-16T06:46:55.501Z,2025-09-24T05:49:08.965Z
68c9084b283ed5949c12f3b2,68c905dc283ed5949c12f39b,68c92b52cf8c8608857f0b9e,68c9326185d5fa42ee8ab332,Spicy Inferno,"Hot, Zesty, Flavor Explosion","The Spicy Inferno Wrap is a fiery delight for spice lovers. Juicy grilled chicken is tossed in a bold chili-lime sauce, paired with crunchy lettuce, diced tomatoes, and jalapeños. A drizzle of creamy sriracha mayo brings balance, while the soft tortilla keeps everything tightly wrapped. Each bite delivers the perfect mix of heat, zest, and freshness. Ideal for quick meals or on-the-go cravings, it’s packed with flavor that satisfies your adventurous side. This wrap proves that bold can also be deliciously balanced, leaving you wanting more.",230,"https://res.cloudinary.com/doobnnrrs/image/upload/f_auto,q_auto/v1758005322/products/b41qfwtnd8himdrtfgpp.jpg",products/b41qfwtnd8himdrtfgpp,"[{""name"":""Size"",""isRequired"":true,""maxSelectable"":1,""options"":[{""name"":""Small"",""price"":160,""_id"":""68d385a123305f0e8fd44642""},{""name"":""Large"",""price"":230,""_id"":""68d385a123305f0e8fd44643""}],""_id"":""68d385a123305f0e8fd44641""}]",2025-09-16T06:48:43.335Z,2025-09-24T05:46:09.918Z
68c9087c283ed5949c12f3b6,68c905dc283ed5949c12f39b,68c92b52cf8c8608857f0b9e,68c9329885d5fa42ee8ab338,Mediterranean Bliss,"Fresh, Light, Flavorful Bite","The Mediterranean Bliss Wrap brings sunny coastal flavors to your plate. Tender grilled chicken or falafel is paired with cucumbers, cherry tomatoes, red onions, and Kalamata olives, all drizzled with tangy tzatziki sauce. Wrapped in a soft flatbread, it’s a refreshing mix of creamy, crunchy, and savory textures. Each bite feels wholesome and light yet incredibly satisfying. This wrap is perfect for anyone who loves clean, healthy flavors without sacrificing taste. It’s a burst of Mediterranean goodness that transports you straight to the seaside with every bite.",300,"https://res.cloudinary.com/doobnnrrs/image/upload/f_auto,q_auto/v1758005371/products/lnrrxn5cjrktexkyndql.jpg",products/lnrrxn5cjrktexkyndql,"[{""name"":""Size"",""isRequired"":true,""maxSelectable"":1,""options"":[{""name"":""Small"",""price"":200,""_id"":""68d3856623305f0e8fd44531""},{""name"":""Large"",""price"":300,""_id"":""68d3856623305f0e8fd44532""}],""_id"":""68d3856623305f0e8fd44530""},{""name"":""Extra Topping"",""isRequired"":false,""maxSelectable"":1,""options"":[{""name"":""Extra Everything"",""price"":50,""_id"":""68d3856623305f0e8fd44534""}],""_id"":""68d3856623305f0e8fd44533""}]",2025-09-16T06:49:32.539Z,2025-09-24T05:46:19.999Z
68c908c5283ed5949c12f3ba,68c905dc283ed5949c12f39b,68c92b52cf8c8608857f0b9e,68c932a485d5fa42ee8ab33e,BBQ Ranch,"Sweet, Smoky, Crispy Perfection","The BBQ Ranch Crunch Wrap is a bold, hearty choice for flavor seekers. Smoky grilled chicken is coated in tangy barbecue sauce and layered with shredded lettuce, cheddar cheese, diced onions, and tortilla strips for extra crunch. A generous drizzle of ranch dressing ties everything together inside a warm tortilla. The combination of sweet, smoky, creamy, and crispy flavors makes it truly irresistible. This wrap is perfect for lunch breaks or casual dinners, delivering comfort food vibes with a gourmet twist that satisfies cravings instantly.",250,"https://res.cloudinary.com/doobnnrrs/image/upload/f_auto,q_auto/v1758005444/products/dvlwgqr6qkump4h1rinf.jpg",products/dvlwgqr6qkump4h1rinf,"[{""name"":""Size"",""isRequired"":true,""maxSelectable"":1,""options"":[{""name"":""Small"",""price"":180,""_id"":""68d3851723305f0e8fd444b4""},{""name"":""Large"",""price"":250,""_id"":""68d3851723305f0e8fd444b5""}],""_id"":""68d3851723305f0e8fd444b3""}]",2025-09-16T06:50:45.286Z,2025-09-24T05:43:51.246Z
68c908fe283ed5949c12f3be,68c905dc283ed5949c12f39b,68c92b52cf8c8608857f0b9e,68c932a485d5fa42ee8ab33e,Veggie Power,"Colorful, Wholesome, Fresh Energy","The Veggie Power Wrap is designed for those who want a healthy yet filling option. Packed with roasted bell peppers, zucchini, carrots, spinach, and hummus, it delivers a rainbow of fresh flavors in every bite. A light sprinkle of feta cheese adds creaminess, while the soft tortilla holds it all together. This wrap isn’t just delicious—it’s nourishing and energizing, perfect for a quick lunch or post-workout meal. The mix of crunchy vegetables and smooth hummus creates a satisfying texture balance, making it a wholesome favorite.",200,"https://res.cloudinary.com/doobnnrrs/image/upload/f_auto,q_auto/v1758005502/products/mjfpxmkiyhwcvfinggem.jpg",products/mjfpxmkiyhwcvfinggem,"[{""name"":""Size"",""isRequired"":true,""maxSelectable"":1,""options"":[{""name"":""Small"",""price"":150,""_id"":""68d384e823305f0e8fd4443a""},{""name"":""Large"",""price"":200,""_id"":""68d384e823305f0e8fd4443b""}],""_id"":""68d384e823305f0e8fd44439""},{""name"":""Topping"",""isRequired"":false,""maxSelectable"":2,""options"":[{""name"":""Extra Mayonaise"",""price"":15,""_id"":""68d384e823305f0e8fd4443d""},{""name"":""Extra Vegitables"",""price"":25,""_id"":""68d384e823305f0e8fd4443e""}],""_id"":""68d384e823305f0e8fd4443c""}]",2025-09-16T06:51:42.958Z,2025-09-24T05:43:04.349Z
68c90944283ed5949c12f3c2,68c905dc283ed5949c12f39b,68c92b3ecf8c8608857f0b9a,68c93119fdb294c865310726,Fiery Pepperoni,"Spicy, Cheesy, Bold Flavor","The Fiery Pepperoni Blaze is a pizza crafted for those who love a kick of spice with every bite. It features a thin, hand-tossed crust layered with zesty tomato sauce, gooey mozzarella, and a generous topping of spicy pepperoni slices. To turn up the heat, chili flakes and jalapeños are sprinkled across the top, perfectly balanced by the richness of melted cheese. The crust is crisp on the outside yet soft inside, ensuring every bite is both crunchy and chewy. This pizza delivers the ultimate spicy, cheesy indulgence.",1600,"https://res.cloudinary.com/doobnnrrs/image/upload/f_auto,q_auto/v1758310853/products/vbm7ssqck2de6w0rkqse.jpg",products/vbm7ssqck2de6w0rkqse,"[{""name"":""Size"",""isRequired"":true,""maxSelectable"":1,""options"":[{""name"":""Small"",""price"":800,""_id"":""68d3848e23305f0e8fd443cb""},{""name"":""Medium"",""price"":1250,""_id"":""68d3848e23305f0e8fd443cc""},{""name"":""Large"",""price"":1600,""_id"":""68d3848e23305f0e8fd443cd""}],""_id"":""68d3848e23305f0e8fd443ca""},{""name"":""Extra Topping"",""isRequired"":false,""maxSelectable"":2,""options"":[{""name"":""Extra Cheeze"",""price"":150,""_id"":""68d3848e23305f0e8fd443cf""},{""name"":""Extra Sauces"",""price"":200,""_id"":""68d3848e23305f0e8fd443d0""}],""_id"":""68d3848e23305f0e8fd443ce""}]",2025-09-16T06:52:52.448Z,2025-09-24T05:57:23.813Z
68cfd8b8beb001e5ef042bc3,68ce85e655435a94c99dfa2e,68c92b3ecf8c8608857f0b9a,68c9320285d5fa42ee8ab328,Milai Boti,Juicy beef patty pizza,"Our Classic Beef Burger is made with a freshly grilled beef patty, topped with melted cheddar cheese, crisp lettuce, ripe tomato slices, onions, and our signature house-made burger sauce. Served on a soft, toasted sesame bun for the ultimate comfort bite.",1150,"https://res.cloudinary.com/doobnnrrs/image/upload/f_auto,q_auto/v1758451894/products/pt2orh1prl0nedf1p77l.jpg",products/pt2orh1prl0nedf1p77l,"[{""name"":""Size"",""isRequired"":true,""maxSelectable"":1,""options"":[{""name"":""Small"",""price"":600,""_id"":""68d3833823305f0e8fd4436a""},{""name"":""Medium"",""price"":900,""_id"":""68d3833823305f0e8fd4436b""},{""name"":""Large"",""price"":1150,""_id"":""68d3833823305f0e8fd4436c""}],""_id"":""68d3833823305f0e8fd44369""},{""name"":""Extra Topping"",""isRequired"":false,""maxSelectable"":2,""options"":[{""name"":""Extra Cheeze"",""price"":100,""_id"":""68d3833823305f0e8fd4436e""},{""name"":""Extra Milai Boti"",""price"":200,""_id"":""68d3833823305f0e8fd4436f""}],""_id"":""68d3833823305f0e8fd4436d""}]",2025-09-21T10:51:36.031Z,2025-09-24T05:35:52.513Z
68cfd957beb001e5ef042bec,68ce85e655435a94c99dfa2e,68c92b3ecf8c8608857f0b9a,68c9313efdb294c86531073e,Hot & Spicy,Spice on full blow,"A golden, crispy chicken fillet coated with a blend of spices, layered with tangy pickles, fresh lettuce, and a fiery sriracha mayo. Perfect for spice lovers who want a crunchy kick with every bite.",1200,"https://res.cloudinary.com/doobnnrrs/image/upload/f_auto,q_auto/v1758452053/products/xawr6fa8yy6djstivxwj.jpg",products/xawr6fa8yy6djstivxwj,"[{""name"":""Size"",""isRequired"":true,""maxSelectable"":1,""options"":[{""name"":""Small"",""price"":700,""_id"":""68d382c623305f0e8fd442be""},{""name"":""Medium"",""price"":950,""_id"":""68d382c623305f0e8fd442bf""},{""name"":""Large"",""price"":1200,""_id"":""68d382c623305f0e8fd442c0""}],""_id"":""68d382c623305f0e8fd442bd""}]",2025-09-21T10:54:15.030Z,2025-09-24T05:34:10.084Z
68cfd9bdbeb001e5ef042c05,68ce85e655435a94c99dfa2e,68c92b3ecf8c8608857f0b9a,68c931ee85d5fa42ee8ab322,Cheese Overload,Two beef patties stacked,"For the true cheese lovers, this burger comes with two flame-grilled beef patties stacked high with gooey cheddar and mozzarella cheese. Finished with fresh lettuce, tomato, onion, and our creamy burger sauce for a rich, indulgent bite.",1100,"https://res.cloudinary.com/doobnnrrs/image/upload/f_auto,q_auto/v1758452156/products/iedpw3uotuzitmtm8gsk.jpg",products/iedpw3uotuzitmtm8gsk,"[{""name"":""Size"",""isRequired"":true,""maxSelectable"":1,""options"":[{""name"":""Small"",""price"":550,""_id"":""68d25fe7f88443512114042c""},{""name"":""Medium"",""price"":890,""_id"":""68d25fe7f88443512114042d""},{""name"":""Large"",""price"":1100,""_id"":""68d25fe7f88443512114042e""}],""_id"":""68d25fe7f88443512114042b""},{""name"":""Crust"",""isRequired"":false,""maxSelectable"":1,""options"":[{""name"":""Thick"",""price"":50,""_id"":""68d25fe7f884435121140430""},{""name"":""Thin"",""price"":100,""_id"":""68d25fe7f884435121140431""}],""_id"":""68d25fe7f88443512114042f""},{""name"":""Extra Topping"",""isRequired"":false,""maxSelectable"":2,""options"":[{""name"":""Extra Cheeze"",""price"":150,""_id"":""68d25fe7f884435121140433""},{""name"":""Extra Chicken"",""price"":200,""_id"":""68d25fe7f884435121140434""}],""_id"":""68d25fe7f884435121140432""}]",2025-09-21T10:55:57.873Z,2025-09-23T08:52:55.731Z
68cfdd32beb001e5ef042e28,68ce85e655435a94c99dfa2e,68c92b88cf8c8608857f0baa,68c935edbc9a2919f2d784a4,Salted Fries,"Golden, crispy fries of sea salt.","Freshly cut potatoes, fried to a golden crisp and lightly sprinkled with sea salt for the perfect balance of crunch and flavor. A timeless favorite, simple yet satisfying, best enjoyed with your favorite dip.",500,"https://res.cloudinary.com/doobnnrrs/image/upload/f_auto,q_auto/v1758453041/products/xagyyzhfdacijmmbf99l.jpg",products/xagyyzhfdacijmmbf99l,"[{""name"":""Size"",""isRequired"":true,""maxSelectable"":1,""options"":[{""name"":""Small pack"",""price"":300,""_id"":""68d3829823305f0e8fd44277""},{""name"":""Large pack"",""price"":500,""_id"":""68d3829823305f0e8fd44278""}],""_id"":""68d3829823305f0e8fd44276""}]",2025-09-21T11:10:42.569Z,2025-09-24T05:33:12.304Z
68cfdd7cbeb001e5ef042e51,68ce85e655435a94c99dfa2e,68c92b88cf8c8608857f0baa,68c9360fbc9a2919f2d784b0,Loaded Fries,Fries topped with melted cheddar cheese.,"Crispy fries smothered in gooey melted cheddar cheese, creating a rich and savory bite in every mouthful. Perfect for cheese lovers who crave that irresistible combination of crunch and creaminess.",750,"https://res.cloudinary.com/doobnnrrs/image/upload/f_auto,q_auto/v1758453115/products/e9cyrjqrviq0ro0mxx68.jpg",products/e9cyrjqrviq0ro0mxx68,"[{""name"":""Size"",""isRequired"":true,""maxSelectable"":1,""options"":[{""name"":""Small pack"",""price"":500,""_id"":""68d3827223305f0e8fd44236""},{""name"":""Large pack"",""price"":750,""_id"":""68d3827223305f0e8fd44237""}],""_id"":""68d3827223305f0e8fd44235""}]",2025-09-21T11:11:56.111Z,2025-09-24T05:32:34.842Z
68cfddefbeb001e5ef042e6a,68ce85e655435a94c99dfa2e,68c92b88cf8c8608857f0baa,68c935fabc9a2919f2d784aa,BBQ Ranch,Fries with smoky BBQ sauce & ranch drizzle.,"Golden fries drizzled with smoky barbecue sauce and creamy ranch dressing, topped with herbs for an extra zing. A perfect mix of tangy, smoky, and savory flavors that keep you coming back for more.",600,"https://res.cloudinary.com/doobnnrrs/image/upload/f_auto,q_auto/v1758453230/products/dxcyrmbjnv1cq6zltjdb.jpg",products/dxcyrmbjnv1cq6zltjdb,"[{""name"":""Size"",""isRequired"":true,""maxSelectable"":1,""options"":[{""name"":""Small pack"",""price"":300,""_id"":""68d3824623305f0e8fd441fb""},{""name"":""Large pack"",""price"":600,""_id"":""68d3824623305f0e8fd441fc""}],""_id"":""68d3824623305f0e8fd441fa""}]",2025-09-21T11:13:51.710Z,2025-09-24T05:31:50.463Z